name,path,plugin_id,status
ab-test-setup,${HOME}/.codex/skills/ab-test-setup/SKILL.md,,Retained by approved policy; discovery visibility varies
data-analytics:convert-to-slides,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/convert-to-slides/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
data-analytics:create-data-context,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/create-data-context/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
data-analytics:design-kpis,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/design-kpis/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
data-analytics:gather-business-context,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/gather-business-context/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
data-analytics:index,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/index/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
data-analytics:jupyter-notebooks,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/jupyter-notebooks/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
data-analytics:kpi-reporting,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/kpi-reporting/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
data-analytics:market-sizing,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/market-sizing/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
data-analytics:metric-diagnostics,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/metric-diagnostics/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
data-analytics:product-business-analysis,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/product-business-analysis/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
data-analytics:publish-artifact-to-sites,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/publish-artifact-to-sites/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
data-analytics:report-to-pdf,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/report-to-pdf/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
data-analytics:schedule-refresh-jobs,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/schedule-refresh-jobs/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
data-analytics:share-artifact-summary,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/share-artifact-summary/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
data-analytics:validate-data,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/validate-data/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
data-analytics:visualize-data,${HOME}/.codex/plugins/cache/openai-curated-remote/data-analytics/1.0.8/skills/visualize-data/SKILL.md,data-analytics@openai-curated-remote,Retained by approved policy; discovery visibility varies
data-storytelling,${HOME}/.codex/skills/data-storytelling/SKILL.md,,Retained by approved policy; discovery visibility varies
database-design,${HOME}/.codex/skills/database-design/SKILL.md,,Retained by approved policy; discovery visibility varies
decision-frameworks,${HOME}/.claude/skills/decision-frameworks/SKILL.md,,Retained by approved policy; discovery visibility varies
deep-research,${HOME}/.codex/skills/deep-research/SKILL.md,,Retained by approved policy; discovery visibility varies
dependency-management-deps-audit,${HOME}/.codex/skills/dependency-management-deps-audit/SKILL.md,,Retained by approved policy; discovery visibility varies
deployment-procedures,${HOME}/.codex/skills/deployment-procedures/SKILL.md,,Retained by approved policy; discovery visibility varies
design-system,${HOME}/.codex/skills/design-system/SKILL.md,,Retained by approved policy; discovery visibility varies
documents:documents,${HOME}/.codex/plugins/cache/openai-primary-runtime/documents/26.909.11809/skills/documents/SKILL.md,documents@openai-primary-runtime,Retained by approved policy; discovery visibility varies
e2e-testing-patterns,${HOME}/.codex/skills/e2e-testing-patterns/SKILL.md,,Retained by approved policy; discovery visibility varies
elementor-team-studio:elementor-accessibility,${HOME}/.codex/plugins/cache/elementor-team/elementor-team-studio/0.5.0/skills/elementor-accessibility/SKILL.md,elementor-team-studio@elementor-team,Retained by approved policy; discovery visibility varies
elementor-team-studio:elementor-angie-extension,${HOME}/.codex/plugins/cache/elementor-team/elementor-team-studio/0.5.0/skills/elementor-angie-extension/SKILL.md,elementor-team-studio@elementor-team,Retained by approved policy; discovery visibility varies
elementor-team-studio:elementor-design-contract,${HOME}/.codex/plugins/cache/elementor-team/elementor-team-studio/0.5.0/skills/elementor-design-contract/SKILL.md,elementor-team-studio@elementor-team,Retained by approved policy; discovery visibility varies
elementor-team-studio:elementor-handoff,${HOME}/.codex/plugins/cache/elementor-team/elementor-team-studio/0.5.0/skills/elementor-handoff/SKILL.md,elementor-team-studio@elementor-team,Retained by approved policy; discovery visibility varies
elementor-team-studio:elementor-launch-recovery,${HOME}/.codex/plugins/cache/elementor-team/elementor-team-studio/0.5.0/skills/elementor-launch-recovery/SKILL.md,elementor-team-studio@elementor-team,Retained by approved policy; discovery visibility varies
elementor-team-studio:elementor-native-build,${HOME}/.codex/plugins/cache/elementor-team/elementor-team-studio/0.5.0/skills/elementor-native-build/SKILL.md,elementor-team-studio@elementor-team,Retained by approved policy; discovery visibility varies
elementor-team-studio:elementor-preflight,${HOME}/.codex/plugins/cache/elementor-team/elementor-team-studio/0.5.0/skills/elementor-preflight/SKILL.md,elementor-team-studio@elementor-team,Retained by approved policy; discovery visibility varies
elementor-team-studio:elementor-search-performance,${HOME}/.codex/plugins/cache/elementor-team/elementor-team-studio/0.5.0/skills/elementor-search-performance/SKILL.md,elementor-team-studio@elementor-team,Retained by approved policy; discovery visibility varies
elementor-team-studio:elementor-site-build,${HOME}/.codex/plugins/cache/elementor-team/elementor-team-studio/0.5.0/skills/elementor-site-build/SKILL.md,elementor-team-studio@elementor-team,Retained by approved policy; discovery visibility varies
elementor-team-studio:elementor-site-setup,${HOME}/.codex/plugins/cache/elementor-team/elementor-team-studio/0.5.0/skills/elementor-site-setup/SKILL.md,elementor-team-studio@elementor-team,Retained by approved policy; discovery visibility varies
elementor-team-studio:elementor-verify-loop,${HOME}/.codex/plugins/cache/elementor-team/elementor-team-studio/0.5.0/skills/elementor-verify-loop/SKILL.md,elementor-team-studio@elementor-team,Retained by approved policy; discovery visibility varies
elementor-team-studio:elementor-website-care,${HOME}/.codex/plugins/cache/elementor-team/elementor-team-studio/0.5.0/skills/elementor-website-care/SKILL.md,elementor-team-studio@elementor-team,Retained by approved policy; discovery visibility varies
email-sequence,${HOME}/.claude/skills/email-sequence/SKILL.md,,Retained by approved policy; discovery visibility varies
email-sequence,${HOME}/.codex/skills/email-sequence/SKILL.md,,Retained by approved policy; discovery visibility varies
